run_id,frame,time_ps,combined_frame_index,n_salt_bridge_atom_pairs,n_salt_bridge_residue_pairs
RUN3,840,41.0660964,274,4,4
RUN3,850,41.554978500000004,275,6,5
RUN3,860,42.0438606,276,5,5
RUN3,870,42.5327427,277,7,6
RUN3,880,43.0216248,278,6,5
RUN3,890,43.5105069,279,6,6
RUN3,900,43.999389,280,7,6
RUN3,910,44.4882711,281,6,6
RUN3,920,44.977153200000004,282,4,4
RUN3,930,45.4660353,283,5,5
RUN3,940,45.9549174,284,4,4
RUN3,950,46.443799500000004,285,5,5
RUN3,960,46.9326816,286,4,4
RUN3,970,47.4215637,287,5,4
RUN3,980,47.9104458,288,5,5
RUN3,990,48.3993279,289,5,5
RUN3,1000,48.88821,290,3,3
RUN3,1010,49.3770921,291,4,4
RUN3,1020,49.865974200000004,292,3,3
RUN3,1030,50.3548563,293,3,3
RUN3,1040,50.8437384,294,3,3
RUN3,1050,51.332620500000004,295,4,4
RUN3,1060,51.8215026,296,4,4
RUN3,1070,52.3103847,297,4,4
RUN3,1080,52.7992668,298,4,4
RUN3,1090,53.2881489,299,4,4
RUN4,100,4.888821,300,2,2
RUN4,110,5.3777031,301,3,3
RUN4,120,5.8665852,302,0,0
RUN4,130,6.3554673,303,0,0
RUN4,140,6.8443494000000005,304,1,1
RUN4,150,7.3332315,305,1,1
RUN4,160,7.8221136,306,1,1
RUN4,170,8.3109957,307,3,3
RUN4,180,8.7998778,308,2,2
RUN4,190,9.2887599,309,4,3
RUN4,200,9.777642,310,3,2
RUN4,210,10.2665241,311,3,3
RUN4,220,10.7554062,312,4,3
RUN4,230,11.244288300000001,313,1,1
RUN4,240,11.7331704,314,3,2
RUN4,250,12.2220525,315,3,3
RUN4,260,12.7109346,316,3,3
RUN4,270,13.1998167,317,2,2
RUN4,280,13.688698800000001,318,2,2
RUN4,290,14.1775809,319,3,3
RUN4,300,14.666463,320,3,3
RUN4,310,15.1553451,321,3,3
RUN4,320,15.6442272,322,2,2
RUN4,330,16.1331093,323,4,4
RUN4,340,16.6219914,324,1,1
RUN4,350,17.1108735,325,2,2
RUN4,360,17.5997556,326,3,3
RUN4,370,18.0886377,327,3,3
RUN4,380,18.5775198,328,3,3
RUN4,390,19.0664019,329,3,3
RUN4,400,19.555284,330,3,3
RUN4,410,20.0441661,331,4,3
RUN4,420,20.5330482,332,4,4
RUN4,430,21.0219303,333,2,2
RUN4,440,21.5108124,334,2,2
RUN4,450,21.9996945,335,3,3
RUN4,460,22.488576600000002,336,3,3
RUN4,470,22.9774587,337,3,3
RUN4,480,23.4663408,338,1,1
RUN4,490,23.9552229,339,1,1
RUN4,500,24.444105,340,1,1
RUN4,510,24.932987100000002,341,1,1
RUN4,520,25.4218692,342,1,1
RUN4,530,25.9107513,343,0,0
RUN4,540,26.3996334,344,3,1
RUN4,550,26.8885155,345,0,0
RUN4,560,27.377397600000002,346,1,1
RUN4,570,27.8662797,347,1,1
RUN4,580,28.3551618,348,3,3
RUN4,590,28.8440439,349,2,2
RUN4,600,29.332926,350,1,1
RUN4,610,29.821808100000002,351,2,2
RUN4,620,30.3106902,352,2,2
RUN4,630,30.7995723,353,1,1
RUN4,640,31.2884544,354,1,1
RUN4,650,31.7773365,355,3,2
RUN4,660,32.2662186,356,2,2
RUN4,670,32.7551007,357,2,2
RUN4,680,33.2439828,358,4,3
RUN4,690,33.7328649,359,1,1
RUN4,700,34.221747,360,3,3
RUN4,710,34.7106291,361,2,2
RUN4,720,35.1995112,362,3,3
RUN4,730,35.6883933,363,2,2
RUN4,740,36.1772754,364,2,2
RUN4,750,36.666157500000004,365,4,3
RUN4,760,37.1550396,366,2,2
RUN4,770,37.6439217,367,3,3
RUN4,780,38.1328038,368,4,3
RUN4,790,38.6216859,369,2,2
RUN4,800,39.110568,370,1,1
RUN4,810,39.5994501,371,2,2
RUN4,820,40.0883322,372,2,2
RUN4,830,40.5772143,373,3,3
RUN4,840,41.0660964,374,3,3
RUN4,850,41.554978500000004,375,3,3
RUN4,860,42.0438606,376,3,3
RUN4,870,42.5327427,377,3,3
RUN4,880,43.0216248,378,3,3
RUN4,890,43.5105069,379,3,3
RUN4,900,43.999389,380,3,3
RUN4,910,44.4882711,381,2,2
RUN4,920,44.977153200000004,382,2,2
RUN4,930,45.4660353,383,3,3
RUN4,940,45.9549174,384,2,2
RUN4,950,46.443799500000004,385,2,2
RUN4,960,46.9326816,386,0,0
RUN4,970,47.4215637,387,1,1
RUN4,980,47.9104458,388,1,1
RUN4,990,48.3993279,389,1,1
RUN4,1000,48.88821,390,3,3
RUN4,1010,49.3770921,391,3,3
RUN4,1020,49.865974200000004,392,3,3
RUN4,1030,50.3548563,393,3,3
RUN4,1040,50.8437384,394,2,2
RUN4,1050,51.332620500000004,395,1,1
RUN4,1060,51.8215026,396,2,2
RUN4,1070,52.3103847,397,2,2
RUN4,1080,52.7992668,398,2,2
RUN4,1090,53.2881489,399,2,2
RUN5,100,4.888821,400,0,0
RUN5,110,5.3777031,401,2,2
RUN5,120,5.8665852,402,4,3
RUN5,130,6.3554673,403,2,2
RUN5,140,6.8443494000000005,404,1,1
RUN5,150,7.3332315,405,1,1
RUN5,160,7.8221136,406,1,1
RUN5,170,8.3109957,407,1,1
RUN5,180,8.7998778,408,2,2
RUN5,190,9.2887599,409,2,2
RUN5,200,9.777642,410,2,2
RUN5,210,10.2665241,411,1,1
RUN5,220,10.7554062,412,2,1
RUN5,230,11.244288300000001,413,2,2
RUN5,240,11.7331704,414,2,2
RUN5,250,12.2220525,415,1,1
RUN5,260,12.7109346,416,2,2
RUN5,270,13.1998167,417,3,2
RUN5,280,13.688698800000001,418,2,2
RUN5,290,14.1775809,419,1,1
RUN5,300,14.666463,420,3,3
RUN5,310,15.1553451,421,5,4
RUN5,320,15.6442272,422,2,2
RUN5,330,16.1331093,423,2,2
RUN5,340,16.6219914,424,1,1
RUN5,350,17.1108735,425,3,3
RUN5,360,17.5997556,426,3,3
RUN5,370,18.0886377,427,3,3
RUN5,380,18.5775198,428,3,3
RUN5,390,19.0664019,429,3,3
RUN5,400,19.555284,430,3,3
RUN5,410,20.0441661,431,2,2
RUN5,420,20.5330482,432,3,3
RUN5,430,21.0219303,433,0,0
RUN5,440,21.5108124,434,3,3
RUN5,450,21.9996945,435,4,4
RUN5,460,22.488576600000002,436,3,3
RUN5,470,22.9774587,437,2,2
RUN5,480,23.4663408,438,3,3
RUN5,490,23.9552229,439,2,2
RUN5,500,24.444105,440,5,4
RUN5,510,24.932987100000002,441,2,2
RUN5,520,25.4218692,442,3,3
RUN5,530,25.9107513,443,1,1
RUN5,540,26.3996334,444,2,2
RUN5,550,26.8885155,445,1,1
RUN5,560,27.377397600000002,446,2,2
RUN5,570,27.8662797,447,3,3
RUN5,580,28.3551618,448,1,1
RUN5,590,28.8440439,449,1,1
RUN5,600,29.332926,450,3,3
RUN5,610,29.821808100000002,451,3,3
RUN5,620,30.3106902,452,2,2
RUN5,630,30.7995723,453,2,2
RUN5,640,31.2884544,454,1,1
RUN5,650,31.7773365,455,1,1
RUN5,660,32.2662186,456,1,1
RUN5,670,32.7551007,457,1,1
RUN5,680,33.2439828,458,3,3
RUN5,690,33.7328649,459,1,1
RUN5,700,34.221747,460,4,4
RUN5,710,34.7106291,461,2,2
RUN5,720,35.1995112,462,3,3
RUN5,730,35.6883933,463,3,3
RUN5,740,36.1772754,464,3,3
RUN5,750,36.666157500000004,465,1,1
RUN5,760,37.1550396,466,3,3
RUN5,770,37.6439217,467,3,3
RUN5,780,38.1328038,468,3,3
RUN5,790,38.6216859,469,4,4
RUN5,800,39.110568,470,5,4
RUN5,810,39.5994501,471,4,4
RUN5,820,40.0883322,472,4,4
RUN5,830,40.5772143,473,4,4
RUN5,840,41.0660964,474,6,5
RUN5,850,41.554978500000004,475,3,2
RUN5,860,42.0438606,476,5,5
RUN5,870,42.5327427,477,4,4
RUN5,880,43.0216248,478,3,3
RUN5,890,43.5105069,479,6,4
